date,longitude,latitude,apparentTemperatureMinTime,temperatureMinTime,cloudCover,temperatureMin,summary,dewPoint,apparentTemperatureMax,temperatureMax,temperatureMaxTime,windBearing,moonPhase,visibility,sunsetTime,pressure,apparentTemperatureMin,precipIntensityMax,icon,apparentTemperatureMaxTime,humidity,windSpeed,time,precipIntensity,sunriseTime,precipProbability
01/01/2010,-87.583008,40.144108,1262408400,1262390400,0.14,2.17,"Mostly cloudy starting in the afternoon, continuing until evening.",4.1,0.43,13.93,1262376000,286,0.53,10,1262385380,1028.26,-10.65,0,partly-cloudy-day,1262376000,0.8,10.21,1262325600,0,1262351633,0
01/01/2010,-88.1564942,40.144108,1262390400,1262390400,0.13,0.4,"Mostly cloudy starting in the afternoon, continuing until evening.",2.4,-1.93,12.5,1262376000,287,0.53,10,1262385518,1029.18,-12.96,0,partly-cloudy-day,1262376000,0.8,11.23,1262325600,0,1262351771,0
01/01/2010,-88.7299804,40.144108,1262404800,1262390400,0.18,0.96,"Mostly cloudy starting in the afternoon, continuing until evening.",1.06,-1.33,11.93,1262376000,292,0.53,9.97,1262385655,1029.77,-12,0,partly-cloudy-day,1262376000,0.75,10.35,1262325600,0,1262351909,0
01/01/2010,-89.3034666,40.144108,1262404800,1262390400,0.19,3.72,Mostly cloudy until evening.,1.98,2.15,13.58,1262376000,287,0.53,9.87,1262385793,1030.51,-7.14,0,partly-cloudy-day,1262376000,0.74,6.88,1262325600,0,1262352046,0
01/01/2010,-89.8769528,40.144108,1262404800,1262350800,0.18,1.92,"Mostly cloudy starting in the afternoon, continuing until evening.",0.65,0.17,12.84,1262376000,296,0.53,9.79,1262385931,1030.71,-10.53,0,partly-cloudy-day,1262376000,0.74,8.64,1262325600,0,1262352184,0
01/01/2010,-87.583008,40.6013716,1262390400,1262390400,0.13,1.54,"Mostly cloudy starting in the afternoon, continuing until evening.",2.4,-1.76,12.75,1262376000,284,0.53,10,1262385297,1028.07,-11.02,0,partly-cloudy-night,1262376000,0.79,10.41,1262325600,0,1262351717,0
01/01/2010,-88.1564942,40.6013716,1262390400,1262390400,0.11,-0.02,"Partly cloudy starting in the afternoon, continuing until evening.",1.18,-3.95,11.27,1262376000,284,0.53,10,1262385435,1029.18,-14.05,0,partly-cloudy-day,1262376000,0.8,10.85,1262325600,0,1262351854,0
01/01/2010,-88.7299804,40.6013716,1262404800,1262390400,0.14,0.75,"Mostly cloudy starting in the afternoon, continuing until evening.",0.76,-3.39,11.02,1262376000,287,0.53,9.98,1262385572,1031.7,-14.15,0,partly-cloudy-day,1262376000,0.79,10.34,1262325600,0,1262351992,0
01/01/2010,-89.3034666,40.6013716,1262404800,1262350800,0.17,1.38,"Mostly cloudy starting in the afternoon, continuing until evening.",-0.39,-1.83,11.31,1262376000,291,0.53,9.88,1262385710,1030.63,-11.87,0,partly-cloudy-day,1262376000,0.75,8.03,1262325600,0,1262352130,0
01/01/2010,-89.8769528,40.6013716,1262350800,1262350800,0.17,0.33,"Mostly cloudy starting in the afternoon, continuing until evening.",-1.51,-2.5,10.97,1262376000,296,0.53,9.84,1262385848,1030.55,-11.27,0,partly-cloudy-day,1262376000,0.75,7.22,1262325600,0,1262352267,0
